distrito,numero_zona,nenhum,1,2,3_ou_mais,total
Alto de Pinheiros,288,1899.2339866526145,7427.3589813839135,5456.653101510361,1387.7539304531074,16170.999999999996
Anhanguera,235,11184.446206896548,13670.853793103448,2261.562068965517,0.0,27116.86206896551
Aricanduva,425,16060.35185185185,14292.92592592592,2411.462962962962,326.259259259259,33090.99999999999
Artur Alvim,435,24014.184807256235,12734.815192743758,0.0,0.0,36748.99999999999
Barra Funda,370,5981.615,6796.330000000001,2047.8799999999999,118.175,14944.000000000002
Bela Vista,135,15466.706073059358,14187.055479452054,2132.121780821919,173.1166666666667,31958.999999999996
Belém,200,9373.796062259955,9950.496005659998,2126.3432261976973,149.8980392156863,21600.533333333333
Bom Retiro,24,7850.520000000002,4626.96,227.52,0.0,12705.000000000004
Brasilândia,610,49525.06,35350.32,4059.64,412.38,89347.4
Brás,75,10771.40199312715,5533.145850010109,145.43628057408532,170.82,16620.804123711343
Butantã,1023,1916.0479876160987,4034.3090815273463,947.6929824561398,231.9499484004127,7129.999999999997
Cachoeirinha,426,30098.496153846187,18790.015384615395,4189.888461538462,626.6,53705.000000000044
Cambuci,37,8201.192307692305,10031.4123076923,1334.3953846153831,0.0,19566.99999999999
Campo Belo,1350,8060.590417785045,17802.518967237076,4707.258522238387,996.6857840146429,31567.053691275152
Campo Grande,1126,9374.102040816322,28465.342857142827,6910.239246467815,842.3158555729981,45591.99999999996
Campo Limpo,1302,48626.779999999984,34557.65999999999,5483.34,1509.1,90176.87999999998
Cangaíba,880,28942.814769913748,21640.316917954406,2545.8683121318177,0.0,53128.99999999997
Capão Redondo,1258,65588.1933333333,33716.663333333345,2189.143333333335,0.0,101493.99999999997
Carrão,417,12510.468267581457,16393.49502572896,2981.715951972552,884.32075471698,32769.999999999956
Casa Verde,273,14395.424067796605,13088.606779661011,2680.249152542372,727.72,30891.999999999993
Cidade Ademar,834,54952.80829187399,37067.35420267082,2679.920175438596,0.0,94700.0826699834
Cidade Dutra,1158,29646.970370370356,29661.28296296295,7161.413333333331,849.925925925925,67319.59259259255
Cidade Líder,660,17992.948146503884,27573.877143914182,3531.549826119125,589.9079023307432,49688.283018867936
Cidade Tiradentes,459,51032.526836158126,18950.88983050845,387.208333333333,387.208333333333,70757.83333333324
Consolação,160,13031.803328349868,12220.905893337887,2805.4004520315693,236.49435312630345,28294.604026845627
Cursino,1250,13749.000433506728,21508.84772798007,4212.15146058423,865.0003779289482,40334.99999999998
Ermelino Matarazzo,540,24731.47368421054,15724.378947368423,1345.147368421053,0.0,41801.000000000015
Freguesia do Ó,378,22833.387808232645,27148.49508792613,2986.710335003439,364.258620689655,53332.85185185187
Grajaú,1470,75725.22301886794,59635.61698113208,3829.0600000000004,0.0,139189.90000000002
Guaianases,455,22962.827368421047,14621.829473684204,1798.3431578947361,0.0,39382.999999999985
Iguatemi,696,30743.37597324112,20949.625361891096,1513.355538690726,250.641791044776,53456.998664867715
Ipiranga,1673,20652.071722245204,22945.53931539037,3545.0647296354664,595.1556457065594,47737.8314129776
Itaim Bibi,423,14822.983227318839,24964.423664546404,8341.42522934693,1043.16787878788,49172.00000000005
Itaim Paulista,618,43302.83382716051,28440.931604938276,1176.654567901235,0.0,72920.42000000003
Itaquera,1344,41761.31429340967,32833.2267491612,3545.558957429126,0.0,78140.1
Jabaquara,1098,39225.59358456009,38229.358770474784,7476.047644965096,0.0,84930.99999999997
Jaguara,113,3021.760000000001,5288.08,944.3000000000001,188.86,9443.0
Jaguaré,677,11576.483773584905,7634.120754716981,2384.395471698113,0.0,21595.0
Jaraguá,345,39763.92000000003,33118.70000000001,3904.76,0.0,76787.38000000003
Jardim Helena,399,29285.85714285717,14939.142857142866,1112.0,0.0,45337.00000000004
Jardim Paulista,459,10922.643212194253,22042.389115010355,7331.475002202129,738.0793372599658,41034.586666666706
Jardim São Luís,918,57571.62666666673,37022.04000000004,3028.7266666666683,1417.726666666667,99040.12000000011
Jardim Ângela,1550,77947.6297511211,36482.32127843189,1788.506388029447,0.0,116218.45741758245
Jaçanã,468,15925.738926517246,13301.224023007042,1992.0370504757302,0.0,31219.000000000022
José Bonifácio,451,28807.879365079367,16196.479365079365,1483.652380952381,339.988888888889,46828.0
Lajeado,407,33668.883834586435,23266.70751879699,804.4086466165411,0.0,57739.99999999997
Lapa,603,11934.487139699391,15423.607011494265,5355.313905835545,302.5573275862069,33015.96538461541
Liberdade,110,16681.75980929053,12878.014253672074,1840.5319898933244,540.693947144075,31941.0
Limão,417,14904.867924528302,14428.687924528302,2719.444150943396,0.0,32053.0
Mandaqui,435,17766.109999999993,19750.12999999999,3536.13,111.68,41164.04999999998
Marsilac,599,2880.0,2160.0,144.0,0.0,5184.0
Moema,387,6993.309600922137,21746.637762489278,8416.39031509414,1298.6623214944998,38455.00000000006
Mooca,132,10279.727476335349,18523.918695064232,3686.250380324541,318.1381704980842,32808.034722222204
Morumbi,1274,4409.311146018106,9814.44706230147,3872.9325647115456,1010.9979657076424,19107.688738738765
Parelheiros,595,30079.948545861367,20936.25548098438,1634.127964205817,141.4666666666666,52791.79865771823
Pari,33,3072.1133333333314,2298.1866666666656,170.3599999999999,73.34,5613.999999999997
Parque do Carmo,669,10796.119999999999,12730.84,3780.08,337.0,27644.04
Pedreira,569,33135.45000000001,23619.94000000001,2451.0600000000004,374.72,59581.17000000002
Penha,686,23169.42295380613,22486.85837779225,4496.05866840165,897.6600000000001,51050.00000000003
Perdizes,609,14479.216101528067,25727.334528095416,6364.7160013906705,806.4119404144166,47377.678571428565
Perus,119,16153.58333333331,14590.333333333314,1042.166666666666,0.0,31786.083333333292
Pinheiros,326,10166.278228438237,16926.208391608416,3884.8328904428936,957.68048951049,31935.000000000036
Pirituba,219,24188.537271448666,40884.571026722944,5488.030942334739,0.0,70561.13924050635
Ponte Rasa,365,12630.258461538459,17442.92769230769,2631.9338461538464,333.88,33039.0
Raposo Tavares,999,20423.89615384615,18857.919999999995,3412.160769230766,1099.0230769230761,43792.99999999999
República,15,22739.964210526286,8765.69578947368,442.34000000000003,0.0,31947.999999999967
Rio Pequeno,1008,15885.458039215684,23528.021176470582,9366.285490196082,1083.352941176472,49863.11764705882
Sacomã,1225,43957.02270487684,49423.26507792862,6750.071694318753,782.6405228758169,100913.00000000003
Santa Cecília,108,21728.82708463952,17117.432037617575,1380.579749216302,486.161128526646,40713.000000000044
Santana,1052,16973.41945314801,24083.368941876317,6854.951692121634,583.259912854031,48495.0
Santo Amaro,1210,12272.458939802327,19028.863252470786,3749.030188679243,965.6476190476186,36015.99999999997
Sapopemba,1305,60572.285671191545,33195.3275551899,2875.795864527629,656.110909090909,97299.51999999999
Saúde,238,25031.518579135634,28887.697284354777,3255.709668424567,0.0,57174.92553191498
Socorro,573,4980.018867924534,8145.264150943403,1407.6415094339638,388.075471698114,14921.000000000015
São Domingos,223,11889.909433962272,16069.864528301896,5557.710188679248,369.735849056604,33887.220000000016
São Lucas,771,25215.91614255767,24737.22641509436,4939.861635220128,0.0,54893.00419287216
São Mateus,1062,28536.893266740655,24990.308202526296,3904.347900480945,722.7055322128849,58154.25490196078
São Miguel,591,14452.318431372543,13886.194509803918,1493.59816993464,0.0,29832.111111111102
São Rafael,469,35144.85223880599,17175.147761194035,379.268656716418,0.0,52699.268656716435
Sé,6,7793.276862745079,2796.43921568627,137.48000000000002,145.803921568627,10872.999999999976
Tatuapé,670,11773.738467360316,24377.565830396034,4897.352043880464,582.343658363201,41631.000000000015
Tremembé,745,37208.002032085555,28979.185026737974,3705.695294117646,653.411764705882,70546.29411764706
Tucuruvi,459,13779.364705882366,22895.862745098057,3345.77254901961,130.6,40151.600000000035
Vila Andrade,966,24985.259051563808,28503.046076732633,12628.882003291488,1824.8128684121,67942.00000000003
Vila Curuçá,403,25538.314814814832,20870.01851851853,4668.296296296297,0.0,51076.629629629664
Vila Formosa,421,13191.769607843129,18842.854449472077,4077.3759426847637,0.0,36111.99999999997
Vila Guilherme,492,8237.094285714278,11155.882857142842,1121.017142857142,356.005714285714,20869.999999999975
Vila Jacuí,930,26189.92761402904,19500.023396529,2043.8956862745072,595.181960784313,48329.02865761686
Vila Leopoldina,530,5140.216023391813,10170.092573099411,3392.5898830409346,613.4026315789472,19316.30111111111
Vila Maria,483,23894.36,15913.899999999994,2759.46,382.28,42949.99999999999
Vila Mariana,477,20613.654746060587,31037.671872484283,7142.669984256854,879.6790728739879,59673.67567567571
Vila Matilde,645,16522.020740740732,19957.626666666656,3118.3525925925924,0.0,39597.999999999985
Vila Medeiros,317,23254.153846153855,17607.65384615385,1651.8461538461538,434.346153846154,42948.000000000015
Vila Prudente,762,11727.355675217297,26915.351503073987,4324.462633029466,267.830188679245,43235.0
Vila Sônia,1318,13271.275379117153,28034.292404134037,6062.2257509900455,1290.2064657587166,48657.99999999995
Água Rasa,141,10010.799999999996,21786.359999999993,4622.12,0.0,36419.27999999999
